num,div,max,exact
10,0.774597,1.000000,4
20,0.547723,1.000000,4
30,0.557773,1.333333,5
40,0.387298,0.750000,2
50,0.419524,0.800000,4
60,0.333333,0.666667,4
70,0.285714,0.571429,4
80,0.237171,0.500000,1
90,0.272166,0.444444,1
100,0.194936,0.300000,1
110,0.207305,0.363636,1
120,0.214087,0.333333,2
130,0.212062,0.307692,1
140,0.180702,0.285714,1
150,0.188562,0.333333,1
160,0.170018,0.312500,0
170,0.174499,0.294118,3
180,0.179161,0.333333,4
190,0.183834,0.368421,2
200,0.189737,0.400000,3
210,0.191663,0.380952,1
220,0.178377,0.409091,2
230,0.185485,0.391304,1
240,0.167705,0.333333,0
250,0.153883,0.320000,2
260,0.155757,0.346154,2
270,0.160589,0.370370,3
280,0.172763,0.392857,2
290,0.163202,0.379310,1
300,0.162617,0.366667,2
310,0.148527,0.322581,0
320,0.146575,0.343750,1
330,0.147212,0.333333,2
340,0.156187,0.352941,0
350,0.144561,0.342857,2
360,0.138332,0.333333,2
370,0.131297,0.351351,2
380,0.139747,0.368421,1
390,0.145500,0.384615,1
400,0.145774,0.400000,1
410,0.133591,0.365854,1
420,0.124631,0.357143,1
430,0.121733,0.348837,1
440,0.122811,0.340909,2
450,0.130715,0.355556,2
460,0.120255,0.326087,3
470,0.110146,0.297872,1
480,0.103749,0.270833,2
490,0.105650,0.265306,0
500,0.116276,0.280000,1
510,0.114332,0.274510,0
520,0.115064,0.288462,0
530,0.116920,0.301887,0
540,0.117706,0.296296,0
550,0.105392,0.254545,2
560,0.096825,0.232143,2
570,0.088418,0.192982,0
580,0.085861,0.172414,1
590,0.086756,0.169492,2
600,0.084984,0.166667,0
610,0.078620,0.163934,0
620,0.079997,0.177419,1
630,0.069913,0.126984,0
640,0.058880,0.093750,1
650,0.058381,0.107692,0
660,0.059459,0.106061,0
670,0.063674,0.104478,0
680,0.063423,0.102941,0
690,0.056503,0.101449,1
700,0.056424,0.085714,1
710,0.059423,0.098592,1
720,0.070820,0.125000,2
730,0.069850,0.123288,2
740,0.072521,0.135135,2
750,0.069793,0.133333,2
760,0.070367,0.157895,0
770,0.076392,0.142857,1
780,0.076495,0.128205,0
790,0.078031,0.139241,1
800,0.077862,0.150000,2
810,0.077493,0.135802,0
820,0.074580,0.134146,1
830,0.073878,0.120482,1
840,0.070026,0.107143,0
850,0.074220,0.117647,0
860,0.076955,0.151163,0
870,0.070855,0.137931,1
880,0.066261,0.125000,0
890,0.069808,0.146067,0
900,0.065734,0.144444,0
910,0.065934,0.131868,0
920,0.059336,0.119565,1
930,0.061769,0.129032,0
940,0.061112,0.117021,0
950,0.060834,0.115789,1
960,0.060560,0.114583,1
970,0.060641,0.123711,0
980,0.062069,0.132653,0
990,0.065150,0.151515,0
1000,0.068411,0.160000,0
1010,0.068453,0.148515,0
1020,0.065032,0.147059,0
1030,0.064400,0.135922,0
1040,0.069869,0.144231,0
1050,0.071015,0.142857,0
1060,0.073197,0.141509,1
1070,0.072151,0.130841,1
1080,0.076016,0.129630,1
1090,0.076648,0.137615,1
1100,0.080083,0.145455,1
1110,0.078435,0.144144,0
1120,0.077014,0.142857,0
1130,0.080817,0.141593,0
1140,0.081442,0.149123,0
1150,0.081572,0.139130,0
1160,0.079479,0.137931,0
1170,0.081891,0.136752,0
1180,0.075894,0.127119,0
1190,0.077110,0.142857,0
1200,0.075829,0.141667,0
1210,0.075925,0.140496,0
1220,0.072299,0.139344,0
1230,0.073261,0.154472,1
1240,0.076931,0.153226,1
1250,0.071911,0.144000,0
1260,0.069461,0.134921,0
1270,0.065690,0.125984,0
